Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2121,Total,4 or more Bedrooms,678,788,943,44,420,5.00%,-1.56%,2.33%,7.32%
2121,House,Total,550,680,785,85,802,8.80%,0.00%,-11.46%,6.25%
2121,House,Bedsitter,-,-,-,-,-,-,-,-,-
2121,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2121,House,Not Specified,-,-,-,-,s,-,-,-,-
2121,House,2 Bedrooms,420,450,500,s,112,-9.09%,-6.25%,0.00%,60.00%
2121,House,3 Bedrooms,560,650,700,s,326,8.79%,1.56%,-30.95%,3.57%
2121,House,4 or more Bedrooms,680,785,920,39,335,3.29%,-1.88%,18.18%,2.63%
2121,Other,Total,-,-,-,-,169,-,-,-,-
2121,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2121,Other,1 Bedroom,-,-,-,-,33,-,-,-,-
2121,Other,Not Specified,-,-,-,-,37,-,-,-,-
2121,Other,2 Bedrooms,-,-,-,-,57,-,-,-,-
2121,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2121,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2121,Townhouse,Total,530,610,675,s,241,1.67%,-1.61%,-44.44%,-16.67%
2121,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2121,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2121,Townhouse,2 Bedrooms,-,-,-,-,55,-,-,-,-
2121,Townhouse,3 Bedrooms,-,-,-,-,123,-,-,-,-
2121,Townhouse,4 or more Bedrooms,-,-,-,-,53,-,-,-,-
2121,Flat/Unit,Total,400,470,520,410,2833,-2.08%,-12.96%,-3.98%,21.30%
2121,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
2121,Flat/Unit,1 Bedroom,380,400,430,99,587,-4.76%,-13.98%,10.00%,12.50%
2121,Flat/Unit,Not Specified,-,-,-,-,35,-,-,-,-
2121,Flat/Unit,2 Bedrooms,425,485,520,263,1849,-3.00%,-12.61%,-4.71%,27.67%
2121,Flat/Unit,3 Bedrooms,550,629,690,45,328,4.83%,-6.12%,0.00%,12.50%
2121,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2122,Total,Total,400,480,560,394,3333,6.67%,-4.00%,-7.73%,35.40%
2122,Total,Bedsitter,-,-,-,-,s,-,-,-,-
2122,Total,1 Bedroom,295,400,426,51,318,19.40%,14.29%,-25.00%,54.55%
2122,Total,Not Specified,-,-,-,-,105,-,-,-,-
2122,Total,2 Bedrooms,350,450,510,221,1710,9.76%,-1.10%,-0.90%,36.42%
2122,Total,3 Bedrooms,550,600,650,75,800,0.42%,-3.23%,1.35%,27.12%
2122,Total,4 or more Bedrooms,629,765,863,40,384,-6.71%,-4.37%,-18.37%,14.29%
2122,House,Total,550,650,788,70,703,4.00%,7.88%,-27.08%,25.00%
2122,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2122,House,Not Specified,-,-,-,-,s,-,-,-,-
2122,House,2 Bedrooms,-,-,-,-,93,-,-,-,-
2122,House,3 Bedrooms,570,600,680,s,291,-1.23%,-3.23%,-28.12%,43.75%
2122,House,4 or more Bedrooms,640,790,900,35,279,-3.66%,-1.25%,-10.26%,94.44%
2122,Other,Total,430,495,600,s,226,0.00%,-10.00%,30.77%,0.00%
2122,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2122,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2122,Other,Not Specified,-,-,-,-,39,-,-,-,-
2122,Other,2 Bedrooms,-,-,-,-,88,-,-,-,-
2122,Other,3 Bedrooms,-,-,-,-,55,-,-,-,-
2122,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2122,Townhouse,Total,446,505,558,94,811,-2.88%,-15.83%,25.33%,40.30%
2122,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2122,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2122,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
2122,Townhouse,2 Bedrooms,418,470,520,60,438,-2.08%,-6.00%,50.00%,71.43%
2122,Townhouse,3 Bedrooms,550,590,650,31,278,-7.45%,-9.23%,40.91%,72.22%
2122,Townhouse,4 or more Bedrooms,-,-,-,-,67,-,-,-,-
2122,Flat/Unit,Total,350,425,510,213,1593,8.97%,-1.16%,-12.35%,41.06%
2122,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
2122,Flat/Unit,1 Bedroom,310,400,426,45,261,14.29%,5.26%,-10.00%,80.00%
2122,Flat/Unit,Not Specified,-,-,-,-,40,-,-,-,-
2122,Flat/Unit,2 Bedrooms,350,430,510,144,1091,13.16%,0.00%,-12.73%,37.14%
2122,Flat/Unit,3 Bedrooms,510,573,635,s,176,1.33%,-1.29%,11.11%,5.26%
2122,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2125,Total,Total,405,605,790,54,608,9.01%,-6.56%,-12.90%,-10.00%
2125,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2125,Total,1 Bedroom,-,-,-,-,48,-,-,-,-
2125,Total,Not Specified,-,-,-,-,31,-,-,-,-
2125,Total,2 Bedrooms,-,-,-,-,67,-,-,-,-
2125,Total,3 Bedrooms,600,620,700,s,169,4.20%,3.33%,18.18%,-23.53%
2125,Total,4 or more Bedrooms,775,880,1025,s,288,3.53%,18.92%,-20.83%,-38.71%
2125,House,Total,620,750,900,33,406,-6.25%,7.14%,13.79%,-19.51%
2125,House,Bedsitter,-,-,-,-,-,-,-,-,-
2125,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2125,House,Not Specified,-,-,-,-,s,-,-,-,-
2125,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2125,House,3 Bedrooms,600,635,709,s,107,6.64%,5.75%,140.00%,50.00%
2125,House,4 or more Bedrooms,775,880,1025,s,269,3.53%,10.34%,-17.39%,-32.14%
2125,Other,Total,-,-,-,-,48,-,-,-,-
2125,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2125,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2125,Other,Not Specified,-,-,-,-,s,-,-,-,-
2125,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2125,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2125,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2125,Townhouse,Total,-,-,-,-,62,-,-,-,-
2125,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2125,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2125,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2125,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2125,Townhouse,3 Bedrooms,-,-,-,-,45,-,-,-,-
2125,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2125,Flat/Unit,Total,350,380,395,s,92,-5.00%,-13.14%,-34.78%,150.00%
2125,Flat/Unit,1 Bedroom,-,-,-,-,33,-,-,-,-
2125,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2125,Flat/Unit,2 Bedrooms,-,-,-,-,46,-,-,-,-
2125,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2125,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2126,Total,Total,650,750,850,70,843,5.63%,0.00%,9.38%,-15.66%
2126,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2126,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2126,Total,Not Specified,-,-,-,-,49,-,-,-,-
2126,Total,2 Bedrooms,-,-,-,-,38,-,-,-,-
2126,Total,3 Bedrooms,623,660,700,s,268,3.94%,-1.49%,15.79%,-12.00%
2126,Total,4 or more Bedrooms,790,850,875,41,476,6.25%,6.92%,17.14%,-26.79%
2126,House,Total,735,820,865,47,573,3.80%,6.49%,9.30%,-27.69%
2126,House,Bedsitter,-,-,-,-,-,-,-,-,-
2126,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2126,House,Not Specified,-,-,-,-,s,-,-,-,-
2126,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2126,House,3 Bedrooms,-,-,-,-,106,-,-,-,-
2126,House,4 or more Bedrooms,790,850,888,39,442,4.94%,6.25%,18.18%,-25.00%
2126,Other,Total,-,-,-,-,68,-,-,-,-
2126,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2126,Other,Not Specified,-,-,-,-,s,-,-,-,-
2126,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2126,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2126,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2126,Townhouse,Total,595,660,700,s,168,7.32%,0.00%,25.00%,-6.25%
2126,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2126,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2126,Townhouse,3 Bedrooms,595,645,678,s,138,2.79%,-2.27%,20.00%,0.00%
2126,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2126,Flat/Unit,Total,-,-,-,-,34,-,-,-,-
2126,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2126,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
2126,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2126,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
2126,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2127,Total,Total,440,500,550,682,"5,443",0.00%,-5.66%,-19.39%,19.02%
2127,Total,Bedsitter,-,-,-,-,s,-,-,-,-
2127,Total,1 Bedroom,410,430,450,255,"1,903",-3.91%,-8.51%,-15.00%,16.44%
2127,Total,Not Specified,-,-,-,-,88,-,-,-,-
2127,Total,2 Bedrooms,500,528,550,364,"2,810",-0.47%,-5.80%,-17.83%,21.33%
2127,Total,3 Bedrooms,680,700,750,53,540,0.00%,-4.76%,-39.77%,26.19%
2127,Total,4 or more Bedrooms,-,-,-,-,87,-,-,-,-
2127,House,Total,455,550,725,s,257,-15.38%,-3.51%,-18.18%,8.00%
2127,House,Bedsitter,-,-,-,-,-,-,-,-,-
2127,House,1 Bedroom,-,-,-,-,36,-,-,-,-
2127,House,2 Bedrooms,-,-,-,-,37,-,-,-,-
2127,House,3 Bedrooms,-,-,-,-,122,-,-,-,-
2127,House,4 or more Bedrooms,-,-,-,-,59,-,-,-,-
2127,Other,Total,-,-,-,-,163,-,-,-,-
2127,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2127,Other,1 Bedroom,-,-,-,-,37,-,-,-,-
2127,Other,Not Specified,-,-,-,-,45,-,-,-,-
2127,Other,2 Bedrooms,-,-,-,-,60,-,-,-,-
2127,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2127,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2127,Townhouse,Total,-,-,-,-,46,-,-,-,-
2127,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2127,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2127,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2127,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2127,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2127,Flat/Unit,Total,440,500,550,645,"4,977",0.00%,-5.66%,-19.78%,20.79%
2127,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2127,Flat/Unit,1 Bedroom,410,430,450,246,"1,824",-4.44%,-8.51%,-15.17%,17.14%
2127,Flat/Unit,Not Specified,-,-,-,-,42,-,-,-,-
2127,Flat/Unit,2 Bedrooms,500,528,550,352,"2,701",-0.47%,-5.80%,-18.52%,21.38%
2127,Flat/Unit,3 Bedrooms,673,700,743,42,385,0.00%,-6.67%,-44.00%,40.00%
2127,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2128,Total,Total,318,385,460,39,385,-6.10%,-13.48%,18.18%,14.71%
2128,Total,1 Bedroom,309,355,384,s,92,18.33%,-6.58%,7.69%,40.00%
2128,Total,Not Specified,-,-,-,-,35,-,-,-,-
2128,Total,2 Bedrooms,375,393,443,s,132,-12.78%,-10.80%,33.33%,-7.69%
2128,Total,3 Bedrooms,-,-,-,-,111,-,-,-,-
2128,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2128,House,Total,-,-,-,-,68,-,-,-,-
2128,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2128,House,Not Specified,-,-,-,-,-,-,-,-,-
2128,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2128,House,3 Bedrooms,-,-,-,-,40,-,-,-,-
2128,House,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2128,Other,Total,-,-,-,-,33,-,-,-,-
2128,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2128,Other,Not Specified,-,-,-,-,s,-,-,-,-
2128,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2128,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2128,Townhouse,Total,-,-,-,-,76,-,-,-,-
2128,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2128,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2128,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2128,Townhouse,3 Bedrooms,-,-,-,-,48,-,-,-,-
2128,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2128,Flat/Unit,Total,320,380,400,s,208,1.33%,-8.98%,25.00%,25.00%
2128,Flat/Unit,1 Bedroom,335,360,386,s,81,14.29%,-12.20%,20.00%,33.33%
2128,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2128,Flat/Unit,2 Bedrooms,-,-,-,-,93,-,-,-,-
2128,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2130,Total,Total,380,450,599,158,1692,0.00%,-5.76%,-21.39%,-5.95%
2130,Total,Bedsitter,-,-,-,-,43,-,-,-,-
2130,Total,1 Bedroom,320,370,400,37,427,-5.13%,-9.76%,-37.29%,-21.28%
2130,Total,Not Specified,-,-,-,-,73,-,-,-,-
2130,Total,2 Bedrooms,410,480,580,80,945,0.00%,-7.69%,-27.27%,0.00%
2130,Total,3 Bedrooms,603,775,845,s,166,3.68%,-3.12%,4.55%,35.29%
2130,Total,4 or more Bedrooms,-,-,-,-,38,-,-,-,-
2130,House,Total,608,775,963,s,166,19.23%,10.71%,-15.79%,-11.11%
2130,House,Bedsitter,-,-,-,-,-,-,-,-,-
2130,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2130,House,Not Specified,-,-,-,-,-,-,-,-,-
2130,House,2 Bedrooms,-,-,-,-,55,-,-,-,-
2130,House,3 Bedrooms,-,-,-,-,68,-,-,-,-
2130,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2130,Other,Total,360,395,415,s,136,-7.06%,-12.22%,175.00%,57.14%
2130,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2130,Other,1 Bedroom,-,-,-,-,38,-,-,-,-
2130,Other,Not Specified,-,-,-,-,48,-,-,-,-
2130,Other,2 Bedrooms,-,-,-,-,36,-,-,-,-
2130,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2130,Townhouse,Total,600,790,800,s,78,8.97%,17.04%,18.18%,30.00%
2130,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2130,Townhouse,2 Bedrooms,-,-,-,-,32,-,-,-,-
2130,Townhouse,3 Bedrooms,-,-,-,-,38,-,-,-,-
2130,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2130,Flat/Unit,Total,371,430,524,118,1312,0.00%,-4.44%,-29.34%,-11.28%
2130,Flat/Unit,Bedsitter,-,-,-,-,31,-,-,-,-
2130,Flat/Unit,1 Bedroom,300,370,395,33,375,-4.52%,-10.30%,-41.07%,-17.50%
2130,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2130,Flat/Unit,2 Bedrooms,403,473,550,70,822,2.72%,-5.97%,-27.84%,2.94%
2130,Flat/Unit,3 Bedrooms,-,-,-,-,56,-,-,-,-
2130,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2131,Total,Total,350,410,500,469,4310,-2.38%,-10.87%,0.00%,17.25%
2131,Total,Bedsitter,-,-,-,-,59,-,-,-,-
2131,Total,1 Bedroom,300,350,400,112,840,-5.41%,-9.68%,15.46%,24.44%
2131,Total,Not Specified,330,375,445,s,258,-8.54%,-8.54%,57.14%,-38.89%
2131,Total,2 Bedrooms,379,420,500,284,2595,-1.75%,-10.64%,-7.19%,21.37%
2131,Total,3 Bedrooms,518,585,685,36,443,-2.50%,-10.00%,-10.00%,9.09%
2131,Total,4 or more Bedrooms,750,800,900,s,115,-5.88%,-8.57%,21.43%,30.77%
2131,House,Total,449,650,800,44,369,3.17%,4.84%,22.22%,29.41%
2131,House,Bedsitter,-,-,-,-,-,-,-,-,-
2131,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2131,House,Not Specified,-,-,-,-,-,-,-,-,-
2131,House,2 Bedrooms,350,425,520,s,100,-9.57%,-25.76%,-13.33%,8.33%
2131,House,3 Bedrooms,576,675,788,s,160,2.27%,-12.34%,27.27%,55.56%
2131,House,4 or more Bedrooms,776,825,894,s,89,-2.94%,-8.33%,55.56%,40.00%
2131,Other,Total,257,360,430,s,392,-11.11%,-11.11%,-5.00%,-26.92%
2131,Other,Bedsitter,-,-,-,-,s,-,-,-,-
2131,Other,1 Bedroom,-,-,-,-,63,-,-,-,-
2131,Other,Not Specified,-,-,-,-,166,-,-,-,-
2131,Other,2 Bedrooms,-,-,-,-,124,-,-,-,-
2131,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2131,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2131,Townhouse,Total,-,-,-,-,169,-,-,-,-
2131,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2131,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2131,Townhouse,2 Bedrooms,-,-,-,-,90,-,-,-,-
2131,Townhouse,3 Bedrooms,-,-,-,-,55,-,-,-,-
2131,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2131,Flat/Unit,Total,350,400,483,399,"3,380",-2.44%,-11.11%,1.01%,21.28%
2131,Flat/Unit,Bedsitter,-,-,-,-,36,-,-,-,-
2131,Flat/Unit,1 Bedroom,300,350,400,105,755,-5.41%,-10.26%,15.38%,26.51%
2131,Flat/Unit,Not Specified,-,-,-,-,82,-,-,-,-
2131,Flat/Unit,2 Bedrooms,379,420,500,264,"2,281",0.00%,-8.70%,-2.58%,23.94%
2131,Flat/Unit,3 Bedrooms,473,540,618,s,213,8.00%,-14.96%,-20.00%,0.00%
2131,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2132,Total,Total,413,500,658,94,859,-2.91%,-13.04%,23.68%,44.62%
2132,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2132,Total,1 Bedroom,338,350,425,s,120,-11.39%,-2.78%,50.00%,33.33%
2132,Total,Not Specified,-,-,-,-,89,-,-,-,-
2132,Total,2 Bedrooms,400,480,510,45,374,5.49%,0.00%,32.35%,45.16%
2132,Total,3 Bedrooms,613,673,739,s,178,2.67%,-2.54%,37.50%,29.41%
2132,Total,4 or more Bedrooms,-,-,-,-,90,-,-,-,-
2132,House,Total,596,698,790,s,240,7.31%,0.36%,0.00%,62.50%
2132,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2132,House,Not Specified,-,-,-,-,-,-,-,-,-
2132,House,2 Bedrooms,-,-,-,-,47,-,-,-,-
2132,House,3 Bedrooms,600,660,735,s,107,0.00%,-4.00%,44.44%,30.00%
2132,House,4 or more Bedrooms,-,-,-,-,76,-,-,-,-
2132,Other,Total,-,-,-,-,116,-,-,-,-
2132,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2132,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2132,Other,Not Specified,-,-,-,-,65,-,-,-,-
2132,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2132,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2132,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2132,Townhouse,Total,-,-,-,-,70,-,-,-,-
2132,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2132,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2132,Townhouse,2 Bedrooms,-,-,-,-,36,-,-,-,-
2132,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2132,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2132,Flat/Unit,Total,395,453,510,54,433,0.56%,-3.72%,54.29%,38.46%
2132,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2132,Flat/Unit,1 Bedroom,345,350,430,s,98,-9.68%,-2.78%,83.33%,57.14%
2132,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2132,Flat/Unit,2 Bedrooms,400,470,510,35,267,4.44%,0.00%,52.17%,29.63%
2132,Flat/Unit,3 Bedrooms,-,-,-,-,44,-,-,-,-
2132,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2133,Total,Total,325,420,600,98,1066,3.70%,5.00%,-9.26%,-1.01%
2133,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2133,Total,1 Bedroom,283,300,323,s,79,-3.23%,-4.76%,37.50%,-21.43%
2133,Total,Not Specified,410,650,678,s,319,62.50%,44.44%,-55.88%,-53.12%
2133,Total,2 Bedrooms,320,360,485,51,445,-7.69%,-8.86%,13.33%,50.00%
2133,Total,3 Bedrooms,591,610,650,s,168,-1.61%,-6.15%,-5.88%,45.45%
2133,Total,4 or more Bedrooms,-,-,-,-,49,-,-,-,-
2133,House,Total,488,595,665,s,234,1.28%,-9.16%,4.55%,27.78%
2133,House,Bedsitter,-,-,-,-,-,-,-,-,-
2133,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2133,House,Not Specified,-,-,-,-,s,-,-,-,-
2133,House,2 Bedrooms,-,-,-,-,58,-,-,-,-
2133,House,3 Bedrooms,573,600,663,s,114,-3.23%,-14.29%,-7.69%,33.33%
2133,House,4 or more Bedrooms,-,-,-,-,42,-,-,-,-
2133,Other,Total,369,625,676,s,303,56.25%,45.35%,-56.76%,-51.52%
2133,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2133,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2133,Other,Not Specified,398,650,679,s,254,62.50%,44.44%,-57.58%,-54.84%
2133,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2133,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2133,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2133,Townhouse,Total,-,-,-,-,65,-,-,-,-
2133,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2133,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2133,Townhouse,2 Bedrooms,-,-,-,-,33,-,-,-,-
2133,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2133,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2133,Flat/Unit,Total,300,335,410,51,464,-4.29%,-9.46%,15.91%,13.33%
2133,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2133,Flat/Unit,1 Bedroom,283,300,323,s,72,-3.23%,-3.23%,83.33%,-15.38%
2133,Flat/Unit,Not Specified,-,-,-,-,46,-,-,-,-
2133,Flat/Unit,2 Bedrooms,320,350,420,38,330,-2.78%,-9.09%,15.15%,26.67%
2133,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2133,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2134,Total,Total,430,500,583,415,2876,-1.96%,-10.71%,-30.02%,59.62%
2134,Total,Bedsitter,-,-,-,-,76,-,-,-,-
2134,Total,1 Bedroom,383,420,483,83,568,-6.67%,-15.15%,-40.29%,9.21%
2134,Total,Not Specified,430,475,520,s,249,-6.86%,-8.65%,84.62%,41.18%
2134,Total,2 Bedrooms,450,500,580,235,"1,498",-6.54%,-13.79%,-28.79%,102.59%
2134,Total,3 Bedrooms,568,610,680,54,360,-7.58%,-8.96%,-25.00%,54.29%
2134,Total,4 or more Bedrooms,575,720,925,s,125,-12.73%,-10.00%,-21.43%,22.22%
2134,House,Total,400,550,600,31,272,-3.51%,-15.38%,-20.51%,72.22%
2134,House,Bedsitter,-,-,-,-,-,-,-,-,-
2134,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2134,House,Not Specified,-,-,-,-,-,-,-,-,-
2134,House,2 Bedrooms,-,-,-,-,60,-,-,-,-
2134,House,3 Bedrooms,-,-,-,-,80,-,-,-,-
2134,House,4 or more Bedrooms,-,-,-,-,94,-,-,-,-
2134,Other,Total,450,500,640,37,360,2.04%,1.01%,15.63%,42.31%
2134,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2134,Other,1 Bedroom,-,-,-,-,68,-,-,-,-
2134,Other,Not Specified,455,490,590,s,177,-10.91%,-5.77%,111.11%,26.67%
2134,Other,2 Bedrooms,-,-,-,-,78,-,-,-,-
2134,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2134,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2134,Townhouse,Total,460,600,650,s,86,-1.64%,0.00%,-7.14%,44.44%
2134,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2134,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2134,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2134,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2134,Townhouse,3 Bedrooms,-,-,-,-,41,-,-,-,-
2134,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2134,Flat/Unit,Total,430,500,574,334,2158,-0.99%,-10.71%,-34.25%,61.35%
2134,Flat/Unit,Bedsitter,-,-,-,-,62,-,-,-,-
2134,Flat/Unit,1 Bedroom,400,430,490,74,473,-4.44%,-14.85%,-42.19%,8.82%
2134,Flat/Unit,Not Specified,-,-,-,-,63,-,-,-,-
2134,Flat/Unit,2 Bedrooms,450,510,579,210,1330,-5.56%,-15.00%,-28.81%,92.66%
2134,Flat/Unit,3 Bedrooms,550,600,680,37,218,-11.76%,-11.76%,-32.73%,76.19%
2134,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2135,Total,Total,400,480,550,500,3512,-4.00%,-11.11%,-20.76%,16.01%
2135,Total,Bedsitter,220,280,300,s,112,0.90%,-24.32%,-64.29%,200.00%
2135,Total,1 Bedroom,330,350,400,76,459,-11.39%,-18.60%,-20.83%,10.14%
2135,Total,Not Specified,290,310,390,s,192,3.33%,-22.98%,40.00%,50.00%
2135,Total,2 Bedrooms,440,480,530,297,1970,-4.00%,-11.11%,-15.38%,19.76%
2135,Total,3 Bedrooms,555,600,650,63,501,0.00%,-11.44%,-29.21%,-7.35%
2135,Total,4 or more Bedrooms,715,845,913,s,278,8.33%,-0.59%,-26.32%,3.70%
2135,House,Total,600,700,850,40,451,10.24%,0.36%,-44.44%,-28.57%
2135,House,Bedsitter,-,-,-,-,-,-,-,-,-
2135,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2135,House,Not Specified,-,-,-,-,s,-,-,-,-
