Station,Latitude,Longitude
Helensburgh Railway Station,,
Liverpool Railway Station,-33.9198252,150.92566
Riverstone Railway Station,-33.6797545,150.8616695
Sydenham Railway Station,-33.9147428,151.1661069
Carlton Railway Station,-33.9682355,151.1244933
Wynyard Railway Station,-33.8659903,151.2058096
Canterbury Railway Station,-33.9130231,151.1170149
East Hills Railway Station,-33.960853,150.9879189
Wollstonecraft Railway Station,-33.8332039,151.1959273
Gymea Railway Station,-34.0341447,151.085653
Woolooware Railway Station,-34.0448411,151.1401717
Regents Park Railway Station,-33.8820048,151.02569
Mount Druitt Railway Station,-33.7705556,150.8205556
Richmond Railway Station,-33.5986877,150.7523549
Miranda Railway Station,-34.0335434,151.1037193
Warwick Farm Railway Station,-33.915,150.9344444
Riverwood Railway Station,-33.9472222,151.0530556
Campbelltown Railway Station,-34.0636914,150.8206159
Berowra Railway Station,-33.6264261,151.1473881
Wentworthville Railway Station,-33.8066667,150.9677778
Padstow Railway Station,-33.9487767,151.030116
Redfern Railway Station,-33.8931044,151.2040292
North Sydney Railway Station,-33.8354519,151.2083011
Domestic Airport Railway Station,-33.9337279,151.1819843
Turrella Railway Station,-33.9302706,151.1409234
Banksia Railway Station,-33.9453399,151.140407
Martin Place Railway Station,-33.8678177,151.210759
Oatley Railway Station,-33.9841882,151.0743856
Kingswood Railway Station,-33.7613772,150.7213283
Penshurst Railway Station,-33.9648292,151.0849525
Edgecliff Railway Station,-33.8797692,151.2361116
Mulgrave Railway Station,-33.627219,150.8316603
Croydon Railway Station,-33.8777935,151.1156502
Punchbowl Railway Station,-33.928717,151.0522591
Mascot Railway Station,-33.9289562,151.1951782
Summer Hill Railway Station,-33.8933952,151.1368729
